gender,age,senior_citizen,married,dependents,number_of_dependents,referred_a_friend,number_of_referrals,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,satisfaction_score,churn_label,tenure_in_months
Female,77,Yes,No,No,0,No,0,None,No,0,No,Yes,8,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,21
Male,71,Yes,Yes,No,0,No,0,None,No,0,No,Yes,13,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,1,Yes,27
Male,79,Yes,Yes,No,0,Yes,1,None,Yes,29.54,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,1,Yes,11
Female,66,Yes,Yes,No,0,Yes,2,Offer B,Yes,42.82,Yes,Yes,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,Yes,55
Male,77,Yes,No,No,0,No,0,Offer E,Yes,9.22,Yes,Yes,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,3
Female,80,Yes,No,No,0,No,0,Offer E,Yes,35.09,No,Yes,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,2,Yes,1
Female,77,Yes,No,No,0,No,0,Offer E,No,0,No,Yes,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,2,Yes,5
Female,77,Yes,No,No,0,No,0,None,Yes,48.73,Yes,Yes,12,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1,Yes,20
Female,72,Yes,Yes,No,0,Yes,4,Offer E,Yes,45.76,Yes,Yes,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,5
Female,80,Yes,Yes,No,0,Yes,2,None,Yes,7.02,No,Yes,25,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,27
Female,74,Yes,No,No,0,No,0,None,Yes,48.35,Yes,Yes,24,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,4
Female,68,Yes,No,No,0,No,0,None,Yes,45.81,Yes,Yes,21,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,1
Female,78,Yes,Yes,No,0,Yes,3,Offer B,Yes,18.39,Yes,Yes,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,1,Yes,65
Male,75,Yes,Yes,No,0,Yes,3,Offer B,Yes,22.92,Yes,Yes,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,2,Yes,49
Male,77,Yes,Yes,No,0,Yes,1,Offer B,Yes,14.52,Yes,Yes,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,43
Male,80,Yes,Yes,No,0,No,0,Offer B,Yes,48.8,Yes,Yes,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,1,Yes,56
Male,75,Yes,Yes,No,0,Yes,7,None,Yes,5.31,Yes,Yes,10,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,20
Female,69,Yes,No,No,0,No,0,None,Yes,47.47,Yes,Yes,19,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,2,Yes,2
Female,74,Yes,No,No,0,No,0,None,Yes,27.95,No,No,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,2,Yes,8
Male,76,Yes,No,No,0,No,0,None,No,0,No,Yes,18,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,2,Yes,52
Male,69,Yes,No,No,0,No,0,None,Yes,43.99,No,Yes,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,2
Male,72,Yes,Yes,No,0,Yes,1,None,Yes,27.78,Yes,Yes,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,33
Female,69,Yes,No,No,0,No,0,None,Yes,45.88,Yes,Yes,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,1,Yes,30
Male,73,Yes,No,No,0,No,0,None,Yes,44.44,Yes,Yes,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,3,Yes,20
Female,65,Yes,No,No,0,No,0,None,Yes,2.37,Yes,Yes,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,1,Yes,46
Male,74,Yes,Yes,No,0,Yes,1,None,Yes,21.91,Yes,Yes,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,7
Female,65,Yes,No,No,0,No,0,None,Yes,36.93,No,Yes,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,4
Female,66,Yes,No,No,0,No,0,None,Yes,37.38,Yes,Yes,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,3,Yes,55
Male,71,Yes,Yes,No,0,Yes,1,None,Yes,5.37,No,Yes,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,20
Male,65,Yes,No,No,0,No,0,None,Yes,48.71,Yes,Yes,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,9
Male,69,Yes,No,No,0,No,0,None,Yes,5.46,No,Yes,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,Yes,10
Male,75,Yes,Yes,No,0,No,0,None,Yes,36.92,Yes,Yes,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,1
Female,75,Yes,No,No,0,No,0,None,Yes,41.9,Yes,Yes,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,3
Female,68,Yes,No,No,0,No,0,None,Yes,6.68,Yes,Yes,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,4
Male,71,Yes,No,No,0,No,0,None,Yes,20.83,Yes,Yes,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,1,Yes,35
Male,80,Yes,No,No,0,No,0,Offer E,Yes,26.62,No,Yes,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,2,Yes,2
Male,66,Yes,No,No,0,No,0,None,Yes,11.57,No,Yes,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,1,Yes,8
Male,73,Yes,Yes,No,0,Yes,2,None,No,0,No,Yes,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,44
Male,77,Yes,Yes,No,0,Yes,1,None,Yes,7.11,Yes,Yes,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,1,Yes,62
Female,76,Yes,Yes,No,0,Yes,1,None,Yes,33.19,Yes,Yes,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,33
Female,65,Yes,No,No,0,No,0,Offer E,Yes,49.5,Yes,Yes,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,4
Male,75,Yes,Yes,No,0,Yes,1,None,Yes,10.6,Yes,Yes,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,27
Male,75,Yes,No,No,0,No,0,Offer E,Yes,40.45,Yes,Yes,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,8
Female,68,Yes,Yes,No,0,Yes,1,Offer E,Yes,25.77,No,Yes,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,1,Yes,3
Female,71,Yes,No,No,0,No,0,Offer E,Yes,42.93,No,Yes,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,8
Male,74,Yes,No,No,0,No,0,None,Yes,11.31,No,Yes,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,3,Yes,14
Male,77,Yes,No,No,0,No,0,None,No,0,No,Yes,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,12
Female,73,Yes,No,No,0,No,0,None,Yes,40.37,No,Yes,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,13
Female,68,Yes,No,No,0,No,0,None,Yes,3.96,No,Yes,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,2,Yes,11
Male,74,Yes,Yes,No,0,Yes,1,None,Yes,28.18,Yes,Yes,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,3,Yes,17
Male,65,Yes,Yes,No,0,Yes,1,None,Yes,33.25,Yes,Yes,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,39
Female,73,Yes,Yes,No,0,Yes,5,None,Yes,17.25,Yes,Yes,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,11
Female,74,Yes,Yes,No,0,Yes,1,Offer E,Yes,3.29,No,Yes,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,3
Male,80,Yes,No,No,0,No,0,None,Yes,34.62,No,Yes,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,21
Female,76,Yes,No,No,0,No,0,None,Yes,38.75,Yes,Yes,16,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,16
Female,73,Yes,No,No,0,No,0,None,Yes,6.13,No,Yes,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,2,Yes,46
Female,70,Yes,Yes,No,0,Yes,1,Offer A,Yes,24.13,Yes,Yes,24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,68
Male,75,Yes,Yes,No,0,Yes,1,Offer E,Yes,13.63,No,Yes,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,7
Male,74,Yes,Yes,No,0,Yes,1,None,Yes,45.25,Yes,Yes,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,15
Male,76,Yes,No,No,0,No,0,None,Yes,19.18,Yes,Yes,22,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,16
Female,75,Yes,No,No,0,No,0,Offer E,Yes,29.68,No,Yes,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,1
Female,74,Yes,No,No,0,No,0,None,No,0,No,Yes,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,1
Female,73,Yes,No,No,0,No,0,None,Yes,19.03,Yes,Yes,24,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,13
Female,69,Yes,No,No,0,No,0,None,Yes,20.06,No,Yes,24,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,1
Female,75,Yes,Yes,No,0,Yes,1,None,Yes,2.88,Yes,Yes,4,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,34
Female,65,Yes,No,No,0,No,0,None,Yes,12.68,No,Yes,10,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,1,Yes,4
Female,77,Yes,No,No,0,No,0,None,Yes,19.27,Yes,Yes,18,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,2
Male,67,Yes,No,No,0,No,0,None,Yes,30.8,Yes,Yes,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,2,Yes,9
Female,78,Yes,No,No,0,No,0,None,Yes,42.33,No,Yes,9,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,1,Yes,5
Male,65,Yes,No,No,0,No,0,Offer D,Yes,40.18,Yes,Yes,8,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,1,Yes,22
Male,74,Yes,No,No,0,No,0,Offer D,Yes,39.97,Yes,Yes,9,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,19
Male,70,Yes,No,No,0,No,0,Offer D,Yes,46.38,Yes,Yes,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,3,Yes,15
Male,69,Yes,No,No,0,No,0,None,Yes,11.34,Yes,Yes,20,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,1
Female,76,Yes,No,No,0,No,0,None,No,0,No,Yes,26,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,1,Yes,1
Male,71,Yes,No,No,0,No,0,Offer D,Yes,41.37,Yes,Yes,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,10
Female,76,Yes,No,No,0,No,0,None,Yes,30.14,No,Yes,6,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,3,Yes,3
Male,77,Yes,Yes,No,0,Yes,1,Offer D,Yes,6.97,No,Yes,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,12
Male,74,Yes,No,No,0,No,0,None,Yes,6.51,No,Yes,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,2
Male,77,Yes,No,No,0,No,0,None,Yes,49.6,Yes,Yes,20,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,Yes,1
Male,76,Yes,Yes,No,0,Yes,1,Offer D,Yes,1.47,No,Yes,5,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,13
Female,77,Yes,No,No,0,No,0,Offer D,Yes,31.17,No,Yes,23,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,23
Female,80,Yes,Yes,No,0,Yes,1,Offer D,Yes,36.82,Yes,Yes,6,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,17
Male,68,Yes,No,No,0,No,0,None,Yes,40.93,No,Yes,2,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,17
Female,79,Yes,No,No,0,No,0,None,Yes,9.53,Yes,Yes,17,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,42
Male,65,Yes,No,No,0,No,0,None,Yes,42.3,No,Yes,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,1
Male,68,Yes,No,No,0,No,0,Offer E,Yes,39.78,No,Yes,12,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,2,Yes,1
Female,72,Yes,No,No,0,No,0,Offer E,Yes,34.51,No,Yes,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,1
Female,66,Yes,No,No,0,No,0,None,Yes,27.95,Yes,Yes,23,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,41
Male,68,Yes,No,No,0,No,0,None,Yes,26.11,No,Yes,4,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,1,Yes,13
Male,69,Yes,Yes,No,0,Yes,1,None,Yes,5.99,Yes,Yes,23,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,32
Male,76,Yes,Yes,No,0,Yes,1,None,Yes,49.6,Yes,Yes,10,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,1,Yes,32
Male,70,Yes,Yes,No,0,Yes,1,None,No,0,No,Yes,3,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,57
Male,71,Yes,No,No,0,No,0,Offer E,Yes,15.28,No,Yes,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,2,Yes,1
Male,75,Yes,No,No,0,No,0,Offer E,No,0,No,Yes,26,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,1
Female,67,Yes,No,No,0,No,0,None,Yes,26.1,No,Yes,27,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,1,Yes,38
Female,65,Yes,Yes,No,0,Yes,1,None,Yes,15.98,Yes,Yes,22,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,35
Female,80,Yes,No,No,0,No,0,Offer E,Yes,15.24,No,Yes,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,1,Yes,1
Male,71,Yes,Yes,No,0,Yes,1,None,Yes,4.65,No,Yes,29,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,30
Female,70,Yes,No,No,0,No,0,Offer E,Yes,12.27,No,Yes,20,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,3,Yes,5
Male,73,Yes,No,No,0,No,0,Offer E,Yes,30.17,Yes,Yes,6,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,1
Male,78,Yes,Yes,No,0,Yes,1,None,Yes,49.38,Yes,Yes,19,Yes,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,1,Yes,58
Female,76,Yes,No,No,0,No,0,None,Yes,17.51,Yes,Yes,7,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,16
Female,73,Yes,No,No,0,No,0,Offer E,Yes,22.5,No,Yes,27,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,2,Yes,1
Female,68,Yes,Yes,No,0,Yes,1,Offer E,Yes,47.28,Yes,Yes,11,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,1,Yes,5
Male,79,Yes,No,No,0,No,0,None,Yes,42.27,No,Yes,7,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,21
Female,67,Yes,No,No,0,No,0,None,Yes,31.83,No,Yes,10,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,1,Yes,43
Female,69,Yes,Yes,No,0,Yes,1,None,Yes,33.74,Yes,Yes,6,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,32
Female,72,Yes,No,No,0,No,0,Offer E,Yes,18.2,No,Yes,13,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,1
Male,75,Yes,Yes,No,0,Yes,1,None,Yes,25.78,Yes,Yes,28,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,3,Yes,29
Male,67,Yes,Yes,No,0,Yes,1,None,Yes,31.7,Yes,Yes,6,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,13
Male,72,Yes,Yes,No,0,Yes,1,None,Yes,8.92,Yes,Yes,17,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,3,Yes,7
Female,68,Yes,No,No,0,No,0,None,Yes,21.57,Yes,Yes,28,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,2
Female,68,Yes,No,No,0,No,0,None,Yes,43.61,No,Yes,2,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,3,Yes,1
Male,75,Yes,Yes,No,0,Yes,1,None,Yes,16.05,No,Yes,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,2,Yes,7
Male,74,Yes,Yes,No,0,Yes,1,None,Yes,49.91,Yes,Yes,21,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,57
Female,78,Yes,Yes,No,0,Yes,4,None,Yes,17.35,Yes,Yes,23,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,1
Male,66,Yes,Yes,No,0,Yes,2,None,Yes,1.05,No,Yes,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,1,Yes,17
Female,73,Yes,No,No,0,No,0,None,Yes,18.38,No,Yes,20,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,3
Male,79,Yes,Yes,No,0,Yes,1,Offer A,Yes,28.86,Yes,Yes,25,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,1,Yes,66
Male,69,Yes,Yes,No,0,Yes,1,Offer A,Yes,48.88,Yes,Yes,4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,3,Yes,69
Female,65,Yes,Yes,No,0,Yes,2,None,Yes,44.13,Yes,Yes,3,No,No,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,3,Yes,15
Female,68,Yes,No,No,0,No,0,None,Yes,34.58,Yes,Yes,4,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,3,Yes,56
Female,79,Yes,No,No,0,No,0,None,Yes,21.15,Yes,Yes,9,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,21
Female,80,Yes,No,No,0,No,0,None,Yes,47.97,No,Yes,8,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,2,Yes,1
Male,77,Yes,Yes,No,0,Yes,3,None,Yes,7.92,Yes,Yes,3,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,2,Yes,32
Female,65,Yes,Yes,No,0,Yes,1,None,Yes,49.5,Yes,Yes,20,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,1,Yes,40
Male,66,Yes,No,No,0,No,0,None,No,0,No,Yes,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,3,Yes,2
